assists,bonus,bps,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
1,2,95,74.1,0,2,48.2,78,104.2,783,2.2,0,0.3,3,307,38,85190,112232,0,5.5
0,0,0,0,0,0,0,638,0,0,0,0,0,19,0,0,8350,6560,0,4
0,0,0,0,0,0,0,447,0,0,0,0,0,19,0,0,663,846,0,4
3,21,452,307.4,4,13,170.4,6,602.4,1916,4.2,0,4.3,1,797,129,1923218,1961260,3,8.5
0,0,25,18.8,0,0,14.2,574,16,164,1,0,0.1,3,107,9,16415,14063,0,4
1,3,78,37.1,0,1,27.7,320,64,380,1.7,0,0.3,14,187,30,80784,102470,1,5
7,3,238,265.4,2,4,126.8,303,297.6,1477,3.4,1,3.2,13,709,75,1137115,1747811,0,8
0,7,107,243.6,0,3,93.8,87,153.8,1324,2.4,0,0.2,4,548,52,163868,165222,4,5.5
6,22,409,230.4,3,12,154.7,506,557.4,2081,5.2,0,5.1,14,761,134,4097548,4504514,2,7.5
0,0,38,26.9,0,1,22,564,52.6,305,1.4,0,0.1,17,142,13,28725,27619,2,4
0,0,12,11.6,0,0,1.8,153,2.2,44,0.8,0,0,7,4,4,7789,8583,1,4
7,16,443,488.6,2,9,203.4,377,581.8,2662,3.8,0,4.1,16,964,137,1794717,1836666,1,7
3,16,395,323.2,1,12,204,91,595.8,2741,4.2,0,5.6,4,1129,138,834276,555458,0,7
2,14,338,236.5,3,10,177.7,132,512.6,1808,3.5,1,1.3,6,1030,106,305921,236910,1,6.5
0,0,0,0,0,0,0,136,0,0,0,0,0.5,6,0,0,95747,151288,0,4
0,0,3,0,0,0,0,666,0,1,1,0,0,17,0,1,5299,4206,0,4
0,0,32,12.2,0,0,3.1,590,3.2,102,1,0,0.2,16,16,13,59733,49556,0,4
4,21,464,300.7,1,12,178.4,366,634.6,2172,4.5,0,6.6,16,866,131,2753878,3949010,1,8
4,15,286,269.7,2,6,117.7,588,319.8,1541,3.7,0,0.6,3,595,89,299406,269252,0,6
0,0,23,33.2,0,0,11.1,256,17.8,180,1.1,0,0.6,11,60,10,39351,99242,0,5
6,21,528,308,3,16,249,164,745.8,2871,5,0,29.5,7,1439,165,9031403,7917346,3,8
1,3,79,89.4,0,1,42.4,329,79.6,501,1.7,0,0.1,14,263,31,12806,12414,0,5.5
4,14,367,203.3,1,10,115,569,443.4,1364,3.8,0,6.9,13,513,99,1852062,1351938,4,8.5
1,5,120,97.3,0,2,42.1,22,116.6,411,2.1,0,0.5,1,211,36,68796,168266,0,5.5
0,0,0,0,0,0,0,596,0,0,0,0,0.1,7,0,0,11578,11613,0,4
3,5,198,166.1,0,4,114.9,504,238.2,1352,2.2,0,1,20,758,72,281227,312018,2,6
0,0,0,0,0,0,0,64,0,0,0,0,0.1,3,0,0,14497,32162,0,4
5,16,453,467.5,1,9,190,282,501,2056,4,0,2.5,12,931,115,1066742,1048709,2,8.5
0,0,0,0,0,0,0,53,0,0,0,0,0.1,3,0,0,5020,18731,0,4
14,40,880,659.1,9,23,355.9,388,1318.2,3083,6.9,0,44.5,17,1585,242,8181197,6160268,1,12.5
0,0,0,0,0,0,0,51,0,0,0,0,0.5,2,0,0,63562,164727,0,4
0,0,3,11.7,0,0,1.8,579,0.2,19,1,0,0.1,9,6,1,11121,11694,0,4
14,23,649,356.6,7,15,248.3,224,819.2,2838,5.5,0,17.5,9,1306,187,5184449,5485123,1,10.5
3,2,125,97.4,1,1,68.9,86,149.8,1248,1.7,0,0.3,4,449,54,65429,99975,3,5.5
0,2,45,16.2,0,1,14,641,46.6,215,2.1,0,0,6,80,15,15298,13370,0,5.5
0,0,0,0,0,0,0,667,0,0,0,0,0,10,0,0,3106,2443,0,4
0,0,5,1.8,0,0,0.1,613,0,37,0.8,0,0,4,0,3,7013,5537,1,4
2,5,258,250.1,1,4,122.2,340,357,1979,2.4,0,0.5,14,612,74,158671,155306,3,6
4,2,216,238.6,0,1,96.6,140,278.6,2086,2.1,0,1.4,6,451,70,213202,561773,4,6
0,0,0,0,0,0,0,444,0,0,0,0,0,19,0,0,429,691,0,4
0,0,18,5.6,0,0,5,651,13.4,138,1,0,0.1,7,31,11,29857,25422,0,4
1,0,85,76.7,0,1,31.7,50,77.2,265,1.5,0,7.6,2,169,23,1359157,1866164,0,4.5
2,18,424,413.9,3,12,176.5,233,540.2,1452,4.4,0,19.5,9,814,110,2481551,955935,1,7.5
0,0,0,0,0,0,0,463,0,0,0,0,0.1,20,0,0,8705,28295,0,4
0,0,0,0,0,0,0,476,0,0,0,0,0.3,20,0,0,29825,43182,0,4
0,0,5,0,0,0,0,592,0,3,1,0,0.1,4,0,2,21551,18309,0,4
0,0,0,0.3,0,0,0.2,539,0,39,1,0,0.9,12,4,1,306104,268454,0,4
2,2,194,194,0,3,87.3,93,197.4,1359,2.2,0,1.5,4,491,62,296799,240124,0,5.5
0,0,0,0,0,0,0,591,0,0,0,0,0.1,4,0,0,24766,21229,0,4
0,0,0,0,0,0,0,49,0,0,0,0,0,2,0,0,1633,8479,0,4
0,0,12,10.8,0,0,2,381,5.6,57,1,0,0.7,16,4,4,66576,201065,0,4
5,19,345,349.1,2,10,190.1,437,517.8,1972,4.5,0,10.9,19,1038,118,3250366,3117861,3,7.5
2,2,113,113.5,0,2,45.5,108,132.8,717,2.3,0,0.6,6,210,41,73147,187490,0,5.5
0,0,1,1.3,0,0,0.9,169,0,13,1,0,0.2,7,11,2,8011,36330,0,4
2,12,334,443.2,1,8,198.5,68,442.2,2508,3.2,1,2.1,3,1103,105,1115266,1143884,1,6.5
0,0,4,0.9,0,0,0.6,619,2.6,37,1,0,0.1,10,2,1,11590,9104,0,4
0,0,1,0.1,0,0,0.2,293,0,9,1,0,0.2,13,2,1,7620,24422,0,4
0,6,139,112,1,4,67.2,103,161.4,740,2.8,0,1.1,5,403,47,311528,353505,1,6.5
9,18,531,610.4,3,14,314,514,815.4,3328,4.5,1,22.1,2,1721,168,4635254,3049913,2,7.5
11,26,631,371,5,17,274.6,202,867.2,3052,5.1,0,45.2,10,1512,194,8141182,5349803,3,8
0,0,5,0,0,0,0.2,626,0,23,1,0,0,20,4,2,3443,3436,0,4
1,7,148,96.2,0,4,55,460,177.4,824,4.3,0,4.4,20,275,43,1160501,2220242,0,7.5
6,18,415,359.7,1,7,208.3,166,576.4,2862,3.6,1,7.1,7,1147,123,1760049,1969328,4,7.5
8,15,615,643.2,2,9,278.8,249,729.4,2837,3.9,0,5.7,11,1415,141,1278572,1209765,2,9
4,16,341,409.7,3,7,142.4,492,398.4,1279,3.4,0,2.7,10,617,89,473575,832303,3,6.5
0,0,0,0,0,0,0,692,0,0,0,0,0,10,0,0,1475,726,0,4
0,4,113,131.6,0,3,66.2,441,169.6,932,2.6,0,0.2,19,361,41,60525,94479,0,5
1,3,155,102.2,0,4,62.2,268,200.6,554,3.2,0,1.6,12,326,38,406215,574721,0,9
0,0,21,6.4,0,0,3.4,361,9.8,201,1.1,0,0.4,16,19,12,57958,135320,0,4
2,8,224,121.6,1,6,86.6,118,277.2,1031,3.1,0,2,5,483,69,589795,784328,0,6.5
12,7,394,532.4,2,6,232.5,117,514.8,2598,3.7,0,10.8,5,1276,128,2079800,4521382,2,9
0,0,11,1.1,0,0,2.3,48,5,15,1,0,0,2,17,3,2651,2640,0,4
1,3,131,165.9,0,1,50.9,642,89.6,1106,2.4,0,0.2,20,256,40,81283,69643,0,5
0,0,0,0,0,0,0,341,0,0,0,0,0.1,14,0,0,5738,27356,0,4